Gene_name,ID
1-Sep,0
10-Sep,1
11-Sep,2
14-Sep,3
15-Sep,4
2-Mar,5
2-Sep,6
3-Sep,7
4-Sep,8
5-Sep,9
6-Sep,10
7-Sep,11
8-Sep,12
9-Sep,13
A1BG,14
A2M,15
AACS,16
AADAT,17
AAK1,18
AAMDC,19
AAMP,20
AARS,21
AARS2,22
AASDHPPT,23
AASS,24
AATK,25
ABAT,26
ABCA2,27
ABCA3,28
ABCA5,29
ABCA8,30
ABCB10,31
ABCB5,32
ABCB7,33
ABCB8,34
ABCB9,35
ABCC1,36
ABCC10,37
ABCC4,38
ABCC5,39
ABCC8,40
ABCD2,41
ABCD3,42
ABCE1,43
ABCF1,44
ABCF2,45
ABCG1,46
ABHD10,47
ABHD11,48
ABHD12,49
ABHD14B,50
ABHD16A,51
ABHD17B,52
ABHD6,53
ABI1,54
ABI2,55
ABI3,56
ABLIM1,57
ABLIM2,58
ABLIM3,59
ABR,60
ABRACL,61
ACACA,62
ACAD10,63
ACAD9,64
ACADSB,65
ACADVL,66
ACAN,67
ACAP2,68
ACAP3,69
ACAT1,70
ACAT2,71
ACBD3,72
ACBD5,73
ACBD7,74
ACIN1,75
ACLY,76
ACO1,77
ACO2,78
ACOT13,79
ACOT7,80
ACOT8,81
ACOT9,82
ACOX1,83
ACP2,84
ACSBG1,85
ACSF3,86
ACSL3,87
ACSL4,88
ACSL6,89
ACSS1,90
ACSS2,91
ACTA2,92
ACTB,93
ACTG1,94
ACTL6A,95
ACTL6B,96
ACTN1,97
ACTN2,98
ACTN4,99
ACTR10,100
ACTR1A,101
ACTR1B,102
ACTR2,103
ACTR3,104
ACTR3B,105
ACVR1,106
ACVR1B,107
ACVR2A,108
ACYP1,109
ACYP2,110
ADA,111
ADAM10,112
ADAM11,113
ADAM17,114
ADAM22,115
ADAM23,116
ADAP1,117
ADAR,118
ADCK1,119
ADCK3,120
ADCK4,121
ADCY1,122
ADCY2,123
ADCY3,124
ADCY7,125
ADCY9,126
ADCYAP1,127
ADCYAP1R1,128
ADD1,129
ADD2,130
ADD3,131
ADH1B,132
ADH5,133
ADI1,134
ADIRF,135
ADK,136
ADNP,137
ADORA1,138
ADPRHL2,139
ADRA2A,140
ADRBK1,141
ADRBK2,142
ADRM1,143
ADSS,144
ADSSL1,145
AEBP1,146
AES,147
AFAP1,148
AFAP1L2,149
AFF4,150
AFG3L2,151
AFM,152
AGAP1,153
AGAP2,154
AGAP3,155
AGFG1,156
AGFG2,157
AGK,158
AGO1,159
AGO2,160
AGO3,161
AGPAT1,162
AGPAT3,163
AGPAT4,164
AGPAT5,165
AGRN,166
AGT,167
AGTPBP1,168
AHCY,169
AHCYL1,170
AHCYL2,171
AHNAK,172
AHNAK2,173
AHSA1,174
AHSG,175
AIDA,176
AIF1,177
AIF1L,178
AIFM1,179
AIFM3,180
AIMP1,181
AIMP2,182
AIP,183
AJAP1,184
AK1,185
AK2,186
AK4,187
AK5,188
AKAP1,189
AKAP10,190
AKAP12,191
AKAP5,192
AKAP6,193
AKAP7,194
AKAP8L,195
AKAP9,196
AKR1A1,197
AKR1B1,198
AKR1B15,199
AKR7A2,200
AKT2,201
AKT3,202
ALAD,203
ALB,204
ALDH18A1,205
ALDH1A1,206
ALDH1A2,207
ALDH1A3,208
ALDH1L1,209
ALDH3A2,210
ALDH5A1,211
ALDH9A1,212
ALDOA,213
ALG11,214
ALKBH7,215
ALOX5,216
ALOX5AP,217
ALPL,218
ALS2,219
ALYREF,220
AMBP,221
AMD1,222
AMER2,223
AMFR,224
AMIGO1,225
AMOT,226
AMPD2,227
AMPD3,228
AMPH,229
ANGEL2,230
ANK1,231
ANK2,232
ANK3,233
ANKFY1,234
ANKH,235
ANKMY2,236
ANKRD13A,237
ANKRD18A,238
ANKRD24,239
ANKRD29,240
ANKRD34A,241
ANKRD35,242
ANKRD39,243
ANKS1B,244
ANLN,245
ANO3,246
ANO6,247
ANO8,248
ANP32A,249
ANP32B,250
ANP32E,251
ANXA1,252
ANXA2,253
ANXA4,254
ANXA5,255
ANXA6,256
ANXA7,257
AOC3,258
AP1B1,259
AP1G1,260
AP1M1,261
AP1M2,262
AP1S1,263
AP1S2,264
AP2A1,265
AP2A2,266
AP2B1,267
AP2S1,268
AP3B1,269
AP3B2,270
AP3D1,271
AP3M1,272
AP3M2,273
AP3S1,274
AP3S2,275
AP4S1,276
AP5M1,277
AP5S1,278
APBA1,279
APBA2,280
APBB1,281
APBB1IP,282
APC,283
APC2,284
APEH,285
APEX1,286
API5,287
APLP1,288
APMAP,289
APOA1,290
APOA2,291
APOB,292
APOC1,293
APOD,294
APOE,295
APOH,296
APOL1,297
APOL2,298
APOO,299
APOOL,300
APP,301
APPL1,302
APPL2,303
APRT,304
AQP4,305
AQR,306
ARAP1,307
ARC,308
ARCN1,309
ARF3,310
ARF4,311
ARF5,312
ARF6,313
ARFGAP1,314
ARFGAP2,315
ARFGAP3,316
ARFGEF1,317
ARFGEF2,318
ARFIP1,319
ARFIP2,320
ARG2,321
ARGLU1,322
ARHGAP1,323
ARHGAP10,324
ARHGAP17,325
ARHGAP20,326
ARHGAP21,327
ARHGAP23,328
ARHGAP26,329
ARHGAP32,330
ARHGAP33,331
ARHGAP35,332
ARHGAP39,333
ARHGAP44,334
ARHGDIA,335
ARHGDIB,336
ARHGEF1,337
ARHGEF10,338
ARHGEF11,339
ARHGEF12,340
ARHGEF2,341
ARHGEF26,342
ARHGEF4,343
ARHGEF40,344
ARHGEF6,345
ARHGEF7,346
ARHGEF9,347
ARID1A,348
ARID1B,349
ARIH1,350
ARL1,351
ARL10,352
ARL15,353
ARL3,354
ARL4C,355
ARL6,356
ARL6IP4,357
ARL6IP5,358
ARL8A,359
ARL8B,360
ARMC1,361
ARMC10,362
ARMC6,363
ARMC8,364
ARMCX1,365
ARMCX2,366
ARMCX3,367
ARPC1A,368
ARPC1B,369
ARPC2,370
ARPC3,371
ARPC4,372
ARPC5,373
